relative_path,filename,class,extension,file_size_bytes,status,reason,width,height,mode
Hazardous/Hazardous/batteries/1-s2.0-S0892687521004477-ga1.jpg,1-s2.0-S0892687521004477-ga1.jpg,Hazardous,.jpg,29714,KEEP,,447,200,RGB
Hazardous/Hazardous/batteries/1-s2.0-S2405829720304827-fx1.jpg,1-s2.0-S2405829720304827-fx1.jpg,Hazardous,.jpg,38350,KEEP,,245,245,RGB
Hazardous/Hazardous/batteries/1-s2.0-S2666016421000268-ga1.jpg,1-s2.0-S2666016421000268-ga1.jpg,Hazardous,.jpg,32747,KEEP,,340,200,RGB
Hazardous/Hazardous/batteries/12209_2020_236_Fig1_HTML.png,12209_2020_236_Fig1_HTML.png,Hazardous,.png,417103,KEEP,,685,641,RGB
Hazardous/Hazardous/batteries/12209_2020_236_Fig2_HTML.png,12209_2020_236_Fig2_HTML.png,Hazardous,.png,243214,KEEP,,685,436,RGB
Hazardous/Hazardous/batteries/18650Cell.jpg,18650Cell.jpg,Hazardous,.jpg,240475,KEEP,,750,563,RGB
Hazardous/Hazardous/batteries/19.13.jpg,19.13.jpg,Hazardous,.jpg,229671,KEEP,,2733,1049,RGB
Hazardous/Hazardous/batteries/1_Picture7.png,1_Picture7.png,Hazardous,.png,105763,KEEP,,640,515,RGB
Hazardous/Hazardous/batteries/40422.MN2400B8.jpg,40422.MN2400B8.jpg,Hazardous,.jpg,1715288,KEEP,,1502,1801,CMYK
Hazardous/Hazardous/batteries/41560_2019_368_Fig1_HTML.png,41560_2019_368_Fig1_HTML.png,Hazardous,.png,467929,KEEP,,2119,1359,RGB
Hazardous/Hazardous/batteries/41586_2019_1682_Fig1_HTML.png,41586_2019_1682_Fig1_HTML.png,Hazardous,.png,69191,KEEP,,1690,603,RGB
Hazardous/Hazardous/batteries/41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,41598_2013_Article_BFsrep01946_Fig1_HTML.jpg,Hazardous,.jpg,279656,KEEP,,2097,1346,RGB
Hazardous/Hazardous/batteries/800px-Alkali_battery_5.jpg,800px-Alkali_battery_5.jpg,Hazardous,.jpg,77214,KEEP,,800,600,RGB
Hazardous/Hazardous/batteries/AA_matchstick-1.jpg,AA_matchstick-1.jpg,Hazardous,.jpg,118490,KEEP,,600,762,RGB
Hazardous/Hazardous/batteries/AMP-17_61f252bb2428a.jpg,AMP-17_61f252bb2428a.jpg,Hazardous,.jpg,258129,KEEP,,1200,900,RGB
Hazardous/Hazardous/batteries/AdobeStock_58870390.jpeg,AdobeStock_58870390.jpeg,Hazardous,.jpeg,917076,KEEP,,6500,4500,RGB
Hazardous/Hazardous/batteries/Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,Alkaline-Batteries-What-Battery-Suppliers-Consider-Their-Advantages--e1538514638890.jpg,Hazardous,.jpg,112988,KEEP,,800,715,RGB
Hazardous/Hazardous/batteries/Alkaline-Battery-vs-Lithium-Battery.jpg,Alkaline-Battery-vs-Lithium-Battery.jpg,Hazardous,.jpg,103151,KEEP,,1200,800,RGB
