relative_path,raw_relative_path,absolute_path,class,subcategory,raw_subcategory,label,status,review_reason
Non-Recyclable/plastics_bags_wrappers/-bags-vegetables-peppers-tomatoes-carrots-onions-from-the-supermarket-RXCRHT.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/-bags-vegetables-peppers-tomatoes-carrots-onions-from-the-supermarket-RXCRHT.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/-bags-vegetables-peppers-tomatoes-carrots-onions-from-the-supermarket-RXCRHT.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/03222022_recycling01_182011.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/03222022_recycling01_182011.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/03222022_recycling01_182011.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/03222022_tzr_tzr_182048.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/03222022_tzr_tzr_182048.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/03222022_tzr_tzr_182048.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/102019_Brightside_Co19_Tips_Poster-559x1024.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/102019_Brightside_Co19_Tips_Poster-559x1024.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/102019_Brightside_Co19_Tips_Poster-559x1024.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/1500x900_362559-plastic-waste.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1500x900_362559-plastic-waste.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1500x900_362559-plastic-waste.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/1587685798451.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1587685798451.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1587685798451.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/1y1fa85aTElzQL94rheAIAA.png,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1y1fa85aTElzQL94rheAIAA.png,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/1y1fa85aTElzQL94rheAIAA.png,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/2-bags-of-morrisons-shopping-discarded-on-the-ground-BMKDN3.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/2-bags-of-morrisons-shopping-discarded-on-the-ground-BMKDN3.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/2-bags-of-morrisons-shopping-discarded-on-the-ground-BMKDN3.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/20-Plastic-Bag-Crafts-To-Reuse-And-Recycle.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20-Plastic-Bag-Crafts-To-Reuse-And-Recycle.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20-Plastic-Bag-Crafts-To-Reuse-And-Recycle.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/200723230749-02-japan-plastic-waste-restricted.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/200723230749-02-japan-plastic-waste-restricted.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/200723230749-02-japan-plastic-waste-restricted.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/20200914_140554.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20200914_140554.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20200914_140554.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
Non-Recyclable/plastics_bags_wrappers/20220816130311_9_jsfv_visualimg_2094_1.jpg,Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20220816130311_9_jsfv_visualimg_2094_1.jpg,/content/drive/.shortcut-targets-by-id/1PoprMbg0JKQ7cGC9VyKmeTI1VK1Va65k/Waste_Classification/data/processed/stage2_visual_deduplicated/Non-Recyclable/Non-Recyclable/platics_bags_wrappers/20220816130311_9_jsfv_visualimg_2094_1.jpg,Non-Recyclable,plastics_bags_wrappers,platics_bags_wrappers,1,AUTO_CORRECTED,Upstream directory typo 'platics_bags_wrappers' normalized to 'plastics_bags_wrappers'
