sha256,class,keep_file,exclude_file,decision,reason
0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,Hazardous,Hazardous/Hazardous/e-waste/0.40042800_1555498967_e-waste2 - Copy.jpg,Hazardous/Hazardous/e-waste/0.40042800_1555498967_e-waste2.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,Hazardous,Hazardous/Hazardous/e-waste/0.40042800_1555498967_e-waste2 - Copy.jpg,Hazardous/Hazardous/e-waste/e-waste22 - Copy.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,Hazardous,Hazardous/Hazardous/e-waste/0.40042800_1555498967_e-waste2 - Copy.jpg,Hazardous/Hazardous/e-waste/e-waste22.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b3445521b014fae988428d3918f3b42446a923ca44cceebcb86204d0cfcb049c,Hazardous,Hazardous/Hazardous/e-waste/ng-electronic-waste-electronics-recycle-bin-miscellaneous-computer-recycling - Copy.png,Hazardous/Hazardous/e-waste/ng-electronic-waste-electronics-recycle-bin-miscellaneous-computer-recycling.png,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b21e8d73993ab03114b5a46f72bfa6dccb9600ddfbd37b5255a6f5e4bdbb25e5,Hazardous,Hazardous/Hazardous/e-waste/fluorescent2 - Copy.jpg,Hazardous/Hazardous/e-waste/fluorescent2.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b1a9b58afa1757ad4d782bf5f955d3d2f826e431250fc52bc7128e6e95df6ba2,Hazardous,Hazardous/Hazardous/e-waste/gettyimages-522580785 - Copy.jpg,Hazardous/Hazardous/e-waste/gettyimages-522580785.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b12152ced109890694f5d12d93e1fc94f77bec24f12aa70b49e8bbd9e2afb29e,Hazardous,Hazardous/Hazardous/e-waste/ey-waste-bin-full-of-e-waste - Copy.jpg,Hazardous/Hazardous/e-waste/ey-waste-bin-full-of-e-waste.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b0fd67907078965f8c9564029bdf1e8a78e6da92991d939acb51e29feac03540,Organic,Organic/Organic/food_scraps/6106-05977845a_2400x1600.jpg.jpg,Organic/Organic/kitchen_waste/6106-05977845a_2400x1600.jpg.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
b009e0640a1a8c1373fca00c3ae5b9e7c546f571968161282320d83ea9143f7f,Hazardous,Hazardous/Hazardous/e-waste/e-inside-green-recycling-symbol-e-waste-concept-illustration-with-1118223065 - Copy.jpg,Hazardous/Hazardous/e-waste/e-inside-green-recycling-symbol-e-waste-concept-illustration-with-1118223065.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
aecf4f2aa2225dc5d1bc07773767737afc073fb465c4f09e497e214b833ddb20,Hazardous,Hazardous/Hazardous/e-waste/cling-bin-with-discarded-electrical-and-electronic-devices-such-as-277722974 - Copy.jpg,Hazardous/Hazardous/e-waste/cling-bin-with-discarded-electrical-and-electronic-devices-such-as-277722974.jpg,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
a49732567a075af8ae84f45621fb3c3633367787c1da02ce5c5c6b59d0098be8,Hazardous,Hazardous/Hazardous/e-waste/bulbs_2 - Copy.png,Hazardous/Hazardous/e-waste/bulbs_2.png,EXCLUDE_EXACT_DUPLICATE,Exact duplicate with same class label; one representative retained.
