finding_type,raw_relative_path,class,subcategory,label,detail
CROSS_CLASS_FILENAME_COLLISION,Hazardous/Hazardous/batteries/maxresdefault.jpg,Hazardous,batteries,0,"Same filename also appears under: Hazardous/paints, Non-Recyclable/ceramic_product, Non-Recyclable/diapers, Non-Recyclable/plastics_bags_wrappers, Organic/egg_shells, Organic/food_scraps, Organic/kitchen_waste, Organic/yard_trimmings, Recyclable/cans_all_type, Recyclable/glass_containers, Recyclable/paper_products, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Hazardous/Hazardous/e-waste/archives-ewaste-one_one.jpg,Hazardous,e-waste,0,"Same filename also appears under: Organic/kitchen_waste. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Hazardous/Hazardous/paints/maxresdefault.jpg,Hazardous,paints,0,"Same filename also appears under: Hazardous/batteries, Non-Recyclable/ceramic_product, Non-Recyclable/diapers, Non-Recyclable/plastics_bags_wrappers, Organic/egg_shells, Organic/food_scraps, Organic/kitchen_waste, Organic/yard_trimmings, Recyclable/cans_all_type, Recyclable/glass_containers, Recyclable/paper_products, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Hazardous/Hazardous/paints/maxresdefault2.jpg,Hazardous,paints,0,"Same filename also appears under: Non-Recyclable/ceramic_product, Non-Recyclable/plastics_bags_wrappers, Organic/egg_shells, Organic/food_scraps, Organic/kitchen_waste, Organic/yard_trimmings, Recyclable/cans_all_type, Recyclable/glass_containers, Recyclable/paper_products, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Hazardous/Hazardous/paints/maxresdefault3.jpg,Hazardous,paints,0,"Same filename also appears under: Non-Recyclable/plastics_bags_wrappers, Organic/food_scraps, Organic/kitchen_waste, Recyclable/glass_containers, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/09928-cover-opener.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Recyclable/glass_containers. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/Glass-recycling.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Recyclable/glass_containers. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/hq720.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Organic/kitchen_waste, Recyclable/paper_products. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/image-asset.jpeg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Non-Recyclable/diapers, Organic/yard_trimmings. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/maxresdefault.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Hazardous/batteries, Hazardous/paints, Non-Recyclable/diapers, Non-Recyclable/plastics_bags_wrappers, Organic/egg_shells, Organic/food_scraps, Organic/kitchen_waste, Organic/yard_trimmings, Recyclable/cans_all_type, Recyclable/glass_containers, Recyclable/paper_products, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/maxresdefault2.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Hazardous/paints, Non-Recyclable/plastics_bags_wrappers, Organic/egg_shells, Organic/food_scraps, Organic/kitchen_waste, Organic/yard_trimmings, Recyclable/cans_all_type, Recyclable/glass_containers, Recyclable/paper_products, Recyclable/plastic_bottles. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/ceramic_product/recycled-glass.jpg,Non-Recyclable,ceramic_product,1,"Same filename also appears under: Recyclable/glass_containers. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/diapers/1.jpg,Non-Recyclable,diapers,1,"Same filename also appears under: Recyclable/glass_containers. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
CROSS_CLASS_FILENAME_COLLISION,Non-Recyclable/Non-Recyclable/diapers/image-asset.jpeg,Non-Recyclable,diapers,1,"Same filename also appears under: Non-Recyclable/ceramic_product, Organic/yard_trimmings. Upstream deduplication confirms these are different images, so this is a label-risk indicator, not proof of mislabelling."
